build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
658399879,7985f765419ca303910ba420dcc55ba9ea81f358,333,master,passed,398,2020-03-04 20:56:31 UTC,658399880,658399881,pull_request
658398030,ef5e984533fec293ddcb0f48aa40ba2d7b847a29,333,master,passed,401,2020-03-04 20:50:45 UTC,658398031,658398032,pull_request
658369202,455df746147acb30c1a15ebc5293e88fec2463f3,333,master,passed,407,2020-03-04 19:30:03 UTC,658369203,658369204,pull_request
658240931,d28d2fcb56dc34d19254062e39c328b575e90a72,337,master,passed,322,2020-03-04 14:30:23 UTC,658240937,658240940,pull_request
655620037,8041e12f78b8249d6366dce6dbf2c7199ad862a0,333,master,passed,366,2020-02-27 01:49:03 UTC,655620038,655620039,pull_request
655614734,19c1e2af1cfe7ec0458c096ba88ca16502b33071,333,master,passed,379,2020-02-27 01:19:20 UTC,655614735,655614736,pull_request
655593919,d152b5aec0c296dddcbcba37965b37aa5e0b26d7,333,master,failed,360,2020-02-26 23:51:10 UTC,655593922,655593924,pull_request
655591980,a31eac347ee1c76e40114e33c2ca15645310ac8c,333,master,failed,351,2020-02-26 23:42:44 UTC,655591981,655591982,pull_request
655588852,93c4a6b39c0a4a1cf259c6c888f77caa3a314e0c,333,master,failed,344,2020-02-26 23:31:23 UTC,655588853,655588854,pull_request
655587136,164433d48306c0fdb4e61ff0e36fc1c61733449b,333,master,failed,253,2020-02-26 23:25:25 UTC,655587137,655587138,pull_request
655573284,04a4736c4e2049210318af0b78933030cc83889c,333,master,passed,398,2020-02-26 22:43:09 UTC,655573285,655573286,pull_request
655564529,6ad14729837bf717696c9d3c6388cf6853884841,333,master,passed,572,2020-02-26 22:17:37 UTC,655564530,655564531,pull_request
655518224,f0332ff1e0b2bd9db764ae71ae8dd9ffaa1629aa,333,master,errored,1315,2020-02-26 20:18:56 UTC,655518225,655518226,pull_request
655190716,32d0a6cd64da157a08f82f003d1eaf12a757e1b7,,master,passed,426,2020-02-26 04:05:19 UTC,655190717,655190718,push
655187762,f48940a3af5ec19eb62a15cb035647fe9cb0631d,,master,passed,350,2020-02-26 03:50:13 UTC,655187763,655187764,push
655186783,6617145a5a6abfdc78ab3b3849c6a769f5e2ef74,329,master,passed,393,2020-02-26 03:46:01 UTC,655186784,655186785,pull_request
655186775,4f5720771d76d6174f1f6407202c662ec44b5e58,,docs/client-testing,passed,417,2020-02-26 03:45:59 UTC,655186776,655186777,push
655157229,3ba45a354642748c9d65c425778703e9b7cbefb9,,master,passed,616,2020-02-26 01:26:48 UTC,655157230,655157231,push
654374697,5b49c2bc64454a001b932316b5ff4897e8d90617,329,master,passed,302,2020-02-24 11:50:20 UTC,654374698,654374699,pull_request
654374672,3b7be8ad0e2b4e4608afff416d8688350525f744,,docs/client-testing,passed,333,2020-02-24 11:50:19 UTC,654374673,654374674,push
654058927,f9e07950661453e2bf5947bdce994ed0876ec51b,329,master,passed,503,2020-02-23 12:56:27 UTC,654058928,654058929,pull_request
654058600,0305fd9205b953dc74d4504a4a29bf7e6ea188cc,,docs/client-testing,passed,542,2020-02-23 12:54:19 UTC,654058601,654058602,push
654041230,153b1a531f20864e84c5167dc8dbb39d22a2dfe6,328,master,passed,525,2020-02-23 11:16:38 UTC,654041231,654041232,pull_request
654040631,96522d6077cdacf282515dc1629fa76112eb23fb,328,master,passed,497,2020-02-23 11:13:16 UTC,654040632,654040633,pull_request
