build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
559048343,458af9566baa61e97fc468a8f844b187647d388a,,fix-bitrot-again,canceled,362,2019-07-15 17:59:33 UTC,559048344,559048345,559048346,559048347,559048348,push
559044434,d0c06184645384324b8467b15860e6f519a21ddf,,fix-bitrot-again,canceled,1009,2019-07-15 17:50:02 UTC,559044435,559044436,559044437,559044438,559044439,push
534623546,b27dd3350ad87a6d66a63363acd816750107c9cc,185,master,failed,1287,2019-05-20 02:33:47 UTC,534623547,534623548,534623549,534623550,534623551,534623552,pull_request
496208362,a0e0776bec98e9a332385b5c320f978b67db193e,,master,passed,3400,2019-02-20 21:29:22 UTC,496208363,496208364,496208365,496208366,496208367,496208368,push
496197076,411b76fe5a6ecc091ee4be11ee4c699cdbbd56e3,183,master,passed,3326,2019-02-20 21:06:16 UTC,496197077,496197078,496197079,496197080,496197081,496197082,pull_request
496196153,9374f3e6642190b53294d1eb675db94c19578876,,fix-flake8,passed,2665,2019-02-20 21:00:55 UTC,496196156,496196157,496196158,496196159,496196160,496196161,push
495585552,1722197e816e110f667e39e858ce49b605dcac5e,,master,passed,2435,2019-02-19 17:38:53 UTC,495585553,495585554,495585555,495585556,495585557,495585558,push
494975514,1ba28e1617cc9fd0653b7a7f03671e878be6346a,182,master,passed,1828,2019-02-18 16:10:54 UTC,494975515,494975516,494975517,494975518,494975519,494975520,pull_request
414165428,f594e57209d1882e18772d04ec4b0f3b2e52cec0,,master,passed,1535,2018-12-21 22:04:00 UTC,414165429,414165430,414165431,414165432,414165433,414165434,push
414066441,2ce5a04d3c1d4227828925869ea6c0b90234a4ca,176,master,passed,1163,2018-08-09 13:54:44 UTC,414066442,414066443,414066444,414066445,414066446,414066447,pull_request
413960803,468805febe54a970bf676cd1a7e79c1259c6529b,176,master,passed,1236,2018-08-09 09:02:07 UTC,413960806,413960807,413960808,413960809,413960810,413960811,pull_request
411489940,92b860b8978b9238437ce2a303862328ae251fbf,173,master,passed,2188,2018-08-02 22:09:27 UTC,411489941,411489942,411489949,411489950,411489951,411489952,pull_request
411053968,b1e978e486114797347deefcc03ab12629a13cc3,,v1.2.2,passed,1503,2018-08-01 23:56:35 UTC,411053969,411053970,411053971,411053972,411053973,411053974,push
411053935,b1e978e486114797347deefcc03ab12629a13cc3,,master,passed,1101,2018-08-01 23:51:10 UTC,411053936,411053937,411053938,411053939,411053940,411053941,push
411051403,9f490af235247daafb96cb9b47d7e90e9f019f63,,master,passed,1264,2018-08-01 23:35:57 UTC,411051404,411051405,411051406,411051407,411051408,411051409,push
