build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
203643851,a18e1e86f69f99e6b0fb664414f579bb285b055f,,master,passed,184,2017-02-21 00:39:53 UTC,203643852,203643853,203643854,203643855,push
203643635,36195e7c0dc27cc12ca918b06cf9388d962b5c4c,,master,passed,177,2017-02-21 00:38:50 UTC,203643636,203643637,203643638,203643639,push
203643568,297ebeb61b1385f47d02ce7e5ee59cd98f8b468f,580,master,passed,184,2017-02-21 00:38:32 UTC,203643570,203643571,203643572,203643573,pull_request
203643148,bf2bd72103e94736f739e01c44813db9b915f56f,579,master,passed,178,2017-02-21 00:36:40 UTC,203643149,203643150,203643151,203643152,pull_request
203643003,9bb75647402e114d824b9c1068e0a21f20b22304,,acuppy-reduce-complexity-batch-api,passed,181,2017-02-21 00:36:02 UTC,203643004,203643005,203643006,203643007,push
203642949,9bb75647402e114d824b9c1068e0a21f20b22304,,acuppy-reduce-complexity-batch-api,passed,186,2017-02-21 00:35:18 UTC,203642950,203642951,203642952,203642953,push
203642922,d79217a3832bd56e48a8b3d29c8a37bf3508b3e5,,revert-578-acuppy-reduce-complexity-batch-api,passed,182,2017-02-21 00:35:07 UTC,203642923,203642924,203642925,203642926,push
203642699,64437629b88c5a69d6898ade430611e00153f7b5,,master,passed,232,2017-02-21 00:33:33 UTC,203642700,203642701,203642702,203642703,push
203642387,a9e340249ff53fb701ebbdedcd320d887c79a788,578,master,passed,187,2017-02-21 00:32:21 UTC,203642388,203642391,203642392,203642393,pull_request
203641734,9bb75647402e114d824b9c1068e0a21f20b22304,,acuppy-reduce-complexity-batch-api,passed,185,2017-02-21 00:29:46 UTC,203641735,203641736,203641737,203641738,push
203641041,c1785aa3bbca27801b3f17ddff5b9d9bf64afdfd,,acuppy-reduce-complexity-batch-api,passed,219,2017-02-21 00:27:00 UTC,203641042,203641043,203641044,203641045,push
203079212,5aaeb11ea344d551c2e4185a2188dd7649b7cc4c,,jessieay-master,failed,172,2017-02-19 03:50:37 UTC,203079213,203079214,203079215,203079216,push
202941674,709e7a0ac9cfb7252f12d9f89bc825119184859f,,master,passed,168,2017-02-18 14:56:46 UTC,202941675,202941676,202941677,202941678,push
