build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
460684605,8c58d1103425f614938f6421444ec48ed04429f0,249,master,errored,1466,2018-11-28 09:47:36 UTC,460684606,460684607,460684608,460684609,460684610,460684611,460684612,pull_request
460056427,353a9fca669c44dedb58d5a074f6d052fb0f58e0,,master,errored,1506,2018-11-27 02:33:11 UTC,460056428,460056429,460056430,460056431,460056432,460056433,460056434,push
460045378,fd31ddb3f73e688add1bcac2f317277fbfaa84ae,247,master,errored,1469,2018-11-27 01:45:15 UTC,460045379,460045380,460045381,460045382,460045383,460045384,460045385,pull_request
459774338,d5f8e13ca70d404acb9f9f8daab06b3818425145,,master,passed,2188,2018-11-26 14:34:14 UTC,459774339,459774340,459774341,459774342,459774343,459774344,459774345,push
459701068,58b2edb11cc51eb534077f80079ff2251e8c13e2,247,master,passed,2396,2018-11-26 11:25:20 UTC,459701069,459701070,459701071,459701072,459701073,459701074,459701075,pull_request
458910558,8602c4fbcfb5595ab3efffcfd2f7bdebc9cc5df5,246,master,passed,2324,2018-11-23 18:25:27 UTC,458910559,458910560,458910561,458910562,458910563,458910564,458910565,pull_request
450659432,f9080354173f192dfc8821931eacf9cfd6819253,,master,passed,2258,2018-11-05 01:30:47 UTC,450659433,450659434,450659435,450659436,450659437,450659438,450659439,push
450658856,bf8f0c0223aa0153e6a6ec3c5c1aa9b4f352dcf3,,master,passed,2258,2018-11-05 01:25:21 UTC,450658857,450658858,450658859,450658860,450658861,450658862,450658863,push
450478763,a306784737d942e0beaa06a48c6378b06a2500c5,243,master,passed,2370,2018-11-04 13:25:53 UTC,450478764,450478765,450478766,450478767,450478768,450478769,450478770,pull_request
449838853,a4119e27a65dc634683dd798846ce8ee09620ae9,,master,passed,2348,2018-11-02 13:27:20 UTC,449838854,449838855,449838856,449838857,449838858,449838859,449838860,push
449836500,de3020ee9f3bd67f105c0c317b7259d67d62cda3,,master,passed,2238,2018-11-02 13:21:26 UTC,449836501,449836502,449836503,449836504,449836505,449836506,449836507,push
449519058,2d612f767f8ac9695856a653a037f41461cff2a4,241,master,errored,2068,2018-11-01 19:51:17 UTC,449519059,449519060,449519061,449519062,449519063,449519064,449519065,pull_request
449348896,1b62c404359e3eda3904ba1f157d73704f1dfc57,239,master,passed,2420,2018-11-01 14:04:44 UTC,449348897,449348898,449348899,449348901,449348902,449348903,449348904,pull_request
447220457,b81dcd9805516a5e020eb57e2af53ba5837548ab,238,master,passed,2211,2018-10-27 22:00:00 UTC,447220458,447220459,447220460,447220461,447220462,447220463,447220464,pull_request
440437522,6b91fda63f2e36186f1c9d0e48578defb69c5d43,,master,errored,1992,2018-10-12 01:48:26 UTC,440437523,440437524,440437525,440437526,440437527,440437528,440437529,push
440437177,4a10eb30f7f5d7adabf0319b508c61ab33511ff3,,master,errored,1740,2018-10-12 01:43:17 UTC,440437178,440437179,440437180,440437181,440437182,440437183,push
439654797,6ff9210da4b7eb11aa2f52f17d1294dab60b2807,237,master,errored,1727,2018-10-10 13:58:15 UTC,439654798,439654799,439654800,439654805,439654806,439654807,pull_request
416528012,3102492469a9f3e25d8d4b577e5cd391b67751ce,230,master,errored,1846,2018-08-15 20:28:14 UTC,416528013,416528014,416528015,416528016,416528017,416528018,pull_request
416200750,ae2bd5eed72d46b28834ec3f60db3a3ebedd8dbd,,master,errored,1926,2018-08-15 03:30:11 UTC,416200751,416200753,416200755,416200756,416200757,416200758,push
416035804,d345a8d0d6d67aca9a7eab8d26683a1b772e6279,229,master,errored,1977,2018-08-14 18:09:04 UTC,416035805,416035806,416035807,416035808,416035809,416035810,pull_request
416035735,4ea6147bb82ebadd3b9a3f9b7b42b45fffe80296,229,master,canceled,0,,416035736,416035737,416035738,416035739,416035740,416035741,pull_request
415727759,891cb5948e5c9ba71683cb0db93360cdce161df0,229,master,errored,1830,2018-08-14 02:07:09 UTC,415727760,415727761,415727762,415727763,415727764,415727765,pull_request
415726639,0749453b6f2fcfa1c0d1934b4c2232ac0b35758b,229,master,errored,1916,2018-08-14 02:01:27 UTC,415726640,415726641,415726642,415726643,415726644,415726645,pull_request
415726245,2170f360d0d786381de308ab317a8c833f1b5690,229,master,errored,1927,2018-08-14 01:55:31 UTC,415726246,415726247,415726248,415726249,415726250,415726251,pull_request
413935377,398d43be2ba26a989ca84a7fb2f1dafa886f364e,225,master,errored,1916,2018-08-09 07:39:58 UTC,413935378,413935379,413935380,413935381,413935382,413935383,pull_request
401353115,c4c61651e9e37fa117f53c5a906d3b63090d8445,,master,passed,2047,2018-07-08 03:06:24 UTC,401353116,401353117,401353118,401353119,401353120,401353121,push
