build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
483853646,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3875,2019-01-24 11:45:30 UTC,483853647,483853648,483853649,483853650,483853651,483853652,483853653,cron
482846549,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3742,2019-01-22 11:44:11 UTC,482846553,482846554,482846555,482846556,482846557,482846558,482846559,cron
482010432,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3684,2019-01-20 11:43:28 UTC,482010433,482010434,482010435,482010436,482010437,482010438,482010439,cron
481318840,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3965,2019-01-18 11:42:35 UTC,481318841,481318842,481318843,481318844,481318845,481318846,481318847,cron
480337251,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3828,2019-01-16 11:41:48 UTC,480337252,480337253,480337254,480337255,480337256,480337257,480337258,cron
479354807,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3867,2019-01-14 11:41:04 UTC,479354808,479354810,479354811,479354812,479354814,479354815,479354816,cron
478714568,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3600,2019-01-12 11:40:24 UTC,478714569,478714570,478714571,478714572,478714573,478714574,478714575,cron
477783855,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3793,2019-01-10 11:39:39 UTC,477783856,477783857,477783858,477783859,477783860,477783861,477783862,cron
476797998,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3951,2019-01-08 11:38:15 UTC,476797999,476798000,476798001,476798002,476798003,476798004,476798006,cron
475953665,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3960,2019-01-06 11:36:55 UTC,475953666,475953667,475953668,475953669,475953670,475953671,475953672,cron
475264405,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3902,2019-01-04 11:35:42 UTC,475264406,475264407,475264408,475264409,475264410,475264411,475264412,cron
474369434,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,4172,2019-01-02 11:34:13 UTC,474369435,474369436,474369437,474369438,474369439,474369440,474369441,cron
473814136,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3812,2018-12-31 11:33:08 UTC,473814137,473814139,473814140,473814141,473814143,473814144,473814145,cron
473290719,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3867,2018-12-29 11:32:35 UTC,473290720,473290721,473290722,473290723,473290724,473290725,473290726,cron
472620712,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3787,2018-12-27 11:31:26 UTC,472620713,472620714,472620715,472620716,472620717,472620718,472620719,cron
472075246,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3589,2018-12-25 11:30:38 UTC,472075247,472075248,472075249,472075250,472075251,472075252,472075253,cron
471564893,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3964,2018-12-23 11:29:42 UTC,471564894,471564895,471564896,471564897,471564898,471564899,471564900,cron
470936034,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3972,2018-12-21 11:28:38 UTC,470936035,470936038,470936039,470936040,470936041,470936042,470936043,cron
469968273,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,failed,3879,2018-12-19 11:28:06 UTC,469968274,469968275,469968276,469968277,469968278,469968279,469968280,cron
468967903,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,4058,2018-12-17 11:27:34 UTC,468967904,468967905,468967906,468967907,468967908,468967909,468967910,cron
468362986,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3651,2018-12-15 11:26:15 UTC,468362987,468362988,468362989,468362990,468362991,468362992,468362993,cron
467456933,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3928,2018-12-13 11:25:06 UTC,467456934,467456935,467456936,467456938,467456939,467456940,467456941,cron
466460647,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,failed,3789,2018-12-11 11:23:51 UTC,466460648,466460649,466460650,466460651,466460652,466460653,466460654,cron
465578487,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3665,2018-12-09 11:22:50 UTC,465578488,465578489,465578490,465578491,465578492,465578493,465578494,cron
464902601,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3852,2018-12-07 11:21:34 UTC,464902602,464902603,464902604,464902605,464902606,464902607,464902609,cron
464283781,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3772,2018-12-06 11:21:01 UTC,464283783,464283785,464283787,464283788,464283789,464283791,464283793,cron
463792696,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3960,2018-12-05 11:20:35 UTC,463792697,463792698,463792699,463792700,463792701,463792702,463792703,cron
462755333,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3711,2018-12-03 11:19:38 UTC,462755335,462755338,462755339,462755342,462755345,462755347,462755348,cron
462142480,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3621,2018-12-01 11:17:48 UTC,462142481,462142482,462142483,462142484,462142485,462142486,462142487,cron
461226270,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3883,2018-11-29 11:17:05 UTC,461226271,461226272,461226273,461226274,461226275,461226276,461226277,cron
460202324,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3820,2018-11-27 11:16:41 UTC,460202327,460202329,460202330,460202331,460202332,460202333,460202334,cron
459368512,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3859,2018-11-25 11:15:35 UTC,459368513,459368514,459368515,459368516,459368517,459368518,459368519,cron
458759201,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3649,2018-11-23 11:14:37 UTC,458759202,458759203,458759204,458759205,458759206,458759207,458759208,cron
457890921,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3809,2018-11-21 11:22:29 UTC,457890926,457890935,457890936,457890937,457890938,457890939,457890940,cron
456915734,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3858,2018-11-19 11:13:58 UTC,456915735,456915736,456915737,456915738,456915739,456915740,456915741,cron
456322409,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3808,2018-11-17 11:13:31 UTC,456322410,456322411,456322412,456322413,456322414,456322415,456322416,cron
455443444,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3713,2018-11-15 11:12:06 UTC,455443445,455443446,455443447,455443448,455443449,455443450,455443451,cron
454429048,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3729,2018-11-13 11:11:00 UTC,454429049,454429050,454429051,454429052,454429053,454429054,454429055,cron
453530497,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,failed,3583,2018-11-11 11:09:29 UTC,453530498,453530499,453530500,453530502,453530505,453530507,453530508,cron
452822008,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3619,2018-11-09 11:09:20 UTC,452822009,452822010,452822011,452822012,452822013,452822014,452822015,cron
