"login","name","language","num_watchers","num_external_contributors","num_prs","num_issues","active_years","num_travis_builds"
"datamapper","dm-core","Ruby",201,27,61,224,"5",61
"rtomac","robotframework-selenium2library","Python",137,30,160,248,"4",453
"caelum","vraptor","Java",431,59,176,450,"14",331
"jeremyevans","sequel","Ruby",1938,199,338,687,"8",415
"openhatch","oh-mainline","Python",134,130,486,268,"6",1470
"ruby","ruby","Ruby",7630,120,941,0,"17",13324
"bokmann","business_time","Ruby",408,26,72,45,"5",183
"jpvanhal","flask-split","Python",51,1,1,2,"3",51
"lassebunk","gretel","Ruby",272,8,20,34,"4",194
"rbarrois","django_xworkflows","Python",55,2,8,10,"4",59
"tschellenbach","Django-facebook","Python",906,33,146,401,"5",643
"clbustos","statsample","Ruby",229,14,26,20,"7",78
"kevinsawicki","http-request","Java",730,19,28,67,"4",126
"barnybug","cli53","Python",360,16,32,65,"5",80
"guilleiguaran","fakeredis","Ruby",187,33,99,48,"4",335
"autotest","autotest","Python",311,67,592,379,"9",340
"travis-ci","travis-ci","Ruby",3652,75,210,3964,"5",2307
"scholrly","neo4django","Python",166,14,70,177,"4",179
"ctran","annotate_models","Ruby",688,76,116,117,"7",312
"karussell","snacktory","Java",182,11,23,9,"4",70
"travis-ci","travis-boxes","Ruby",82,3,13,7,"4",283
"bitly","asyncmongo","Python",206,13,38,8,"5",63
"gettalong","kramdown","Ruby",350,39,74,185,"7",148
"mendhak","gpslogger","Java",286,11,47,283,"5",463
"everzet","capifony","Ruby",766,131,280,302,"6",284
"caktus","django-timepiece","Python",167,9,316,521,"7",449
"joscha","play-authenticate","Java",354,33,90,170,"3",400
"justquick","django-activity-stream","Python",697,48,106,148,"5",160
"cbeust","testng","Java",472,66,293,466,"9",327
"weld","core","Java",214,49,1040,0,"7",1702
"plataformatec","simple_form","Ruby",5385,184,402,871,"6",1192
"beerlington","classy_enum","Ruby",177,7,14,38,"5",222
"zxing","zxing","Java",3850,38,95,309,"3",426
"intercom","intercom-ruby","Ruby",92,28,107,63,"3",445
"cypreess","django-getpaid","Python",115,12,36,25,"3",84
"thbishop","knife-solo_data_bag","Ruby",115,7,16,11,"3",72
"guard","guard","Ruby",4945,128,310,462,"5",1578
"demianbrecht","sanction","Python",111,5,9,9,"3",61
"aq1018","mongoid-history","Ruby",109,25,68,71,"4",253
"hakanensari","vacuum","Ruby",158,5,17,19,"5",152
"posativ","acrylamid","Python",140,24,85,132,"4",435
"binarydud","pyres","Python",248,30,51,48,"6",83
"maxcountryman","flask-login","Python",372,55,106,105,"3",238
"till","easybib-cookbooks","Ruby",96,9,612,36,"4",2563
"tim-vandecasteele","grape-swagger","Ruby",332,53,147,124,"3",507
"treeio","treeio","Python",428,19,38,115,"4",160
"eventmachine","eventmachine","Ruby",3103,96,201,408,"12",528
"thoughtbot","high_voltage","Ruby",875,46,109,70,"4",493
"scobal","seyren","Java",323,27,125,151,"3",401
"BaseXdb","basex","Java",196,25,432,742,"7",362
"alexreisner","geocoder","Ruby",3220,189,360,520,"6",776
"jsocol","django-waffle","Python",282,38,81,88,"4",242
"dblock","waffle","Java",130,12,161,63,"4",256
"locomotivecms","engine","Ruby",2059,99,332,759,"5",935
"crowdint","rails3-jquery-autocomplete","Ruby",1095,53,108,190,"5",138
"stefanfoulis","django-filer","Python",522,70,248,313,"6",610
"basho","riak-python-client","Python",312,55,256,170,"5",456
"davidcelis","inflections","Ruby",53,6,8,5,"3",88
"jayway","rest-assured","Java",322,15,37,1,"4",148
"wr0ngway","rubber","Ruby",957,34,114,22,"8",233
"freerange","mocha","Ruby",664,27,59,173,"5",314
"thoughtbot","shoulda-matchers","Ruby",1149,169,406,346,"8",2138
"puppetlabs","puppetlabs-cloud_provisioner","Ruby",130,8,137,0,"4",106
"fatfreecrm","fat_free_crm","Ruby",2844,73,178,274,"7",1559
"pynag","pynag","Python",99,24,140,80,"4",669
"freelancing-god","thinking-sphinx","Ruby",84,2,12,3,"3",166
"webpy","webpy","Python",1384,38,113,98,"2015",192
"shoes","shoes4","Ruby",865,40,463,684,"3",2570
"mozilla","zamboni","Python",493,134,3101,81,"6",4731
"un33k","django-uuslug","Python",108,6,7,3,"4",62
"adhearsion","adhearsion","Ruby",466,39,195,389,"8",1416
"jknack","handlebars.java","Java",245,24,53,289,"3",451
"sferik","t","Ruby",2197,44,97,172,"4",918
"wvanbergen","state_machine-audit_trail","Ruby",81,11,20,11,"4",103
"sripathikrishnan","redis-rdb-tools","Python",597,3,23,33,"3",84
"jberkel","sms-backup-plus","Java",565,25,77,489,"5",361
"Gazler","githug","Ruby",3136,67,138,59,"3",280
"rubygems","rubygems","Ruby",1383,193,488,844,"12",2310
"earwig","mwparserfromhell","Python",109,5,18,88,"3",318
"peter-murach","github","Ruby",347,49,95,96,"4",727
"peter-murach","github_cli","Ruby",105,2,4,13,"3",272
"nesquena","rabl","Ruby",3185,81,157,478,"4",536
"gazay","gon","Ruby",923,40,77,79,"4",243
"middleman","middleman-guides","Ruby",192,258,427,50,"4",622
"fiorix","freegeoip","Python",914,8,18,104,"4",54
"cobrateam","splinter","Python",359,64,143,200,"4",489
"the-teacher","the_role","Ruby",374,16,28,45,"4",148
"codeforamerica","textizen","Ruby",63,1,10,42,"3",196
"pypa","virtualenv","Python",1255,92,328,445,"8",752
"bkeepers","dotenv","Ruby",1170,53,122,80,"3",391
"nathanvda","cocoon","Ruby",1126,40,93,209,"4",71
"bogdan","datagrid","Ruby",268,25,49,78,"4",115
"mozilla-services","cornice","Python",229,64,182,137,"4",531
"cloudfoundry","uaa","Java",219,50,96,108,"4",2439
"tobmatth","rack-ssl-enforcer","Ruby",163,22,42,24,"5",96
"stevegraham","slanger","Ruby",923,18,67,134,"4",298
"web2py","web2py","Python",853,104,736,331,"4",2286
"stonean","slim","Ruby",601,8,38,178,"5",332
"mne-tools","mne-python","Python",136,42,1418,859,"5",6212
"puppetlabs","marionette-collective","Ruby",205,59,321,0,"6",599
"PyBossa","pybossa","Python",251,20,539,591,"4",3930
"mitreid-connect","OpenID-Connect-Java-Spring-Server","Java",176,25,104,686,"4",1070
"mroth","lolcommits","Ruby",3041,50,133,150,"4",806
"thoughtbot","shoulda","Ruby",1585,32,29,227,"7",57
"technoweenie","faraday","Ruby",1102,59,119,20,"6",356
"ironport","shrapnel","Python",125,3,23,31,"4",123
"mattdbridges","dotify","Ruby",176,0,5,19,"3",403
"jenkinsci","jenkins.rb","Ruby",322,18,65,48,"4",127
"paulasmuth","fnordmetric","Ruby",3687,33,97,137,"4",513
"ging","social_stream","Ruby",426,16,36,446,"4",2332
"nov","fb_graph","Ruby",955,36,92,302,"5",400
"denniskuczynski","beanstalkd_view","Ruby",105,13,16,9,"3",138
"tcurdt","jdeb","Java",113,28,83,119,"5",291
"graphite-project","whisper","Python",318,39,93,40,"4",236
"rspec","rspec-expectations","Ruby",603,118,491,316,"6",2601
