build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
748744940,f9fb40974fd862ab6a9a29abef53a98c936283ff,6713,master,failed,4891,2020-12-10 12:19:23 UTC,748744941,748744942,748744943,748744944,748744945,748744946,748744947,748744948,748744949,748744950,748744951,748744952,748744953,pull_request
748559169,da7e49b1277a3e2d92be5527d79a2ec83eb41053,6711,master,failed,4596,2020-12-10 03:24:58 UTC,748559170,748559171,748559172,748559173,748559174,748559175,748559176,748559177,748559178,748559179,748559180,748559181,748559182,pull_request
748559133,7cea285a7005d4e5a800e3c9f24e9d75a2a78e3a,6711,master,canceled,0,,748559134,748559135,748559136,748559137,748559138,748559139,748559140,748559141,748559142,748559143,748559144,748559145,748559146,pull_request
748557899,92c305e369c5d9291a8b6a9eab87011ee4387693,6710,master,failed,4737,2020-12-10 01:56:16 UTC,748557900,748557901,748557902,748557903,748557904,748557905,748557906,748557907,748557908,748557909,748557910,748557911,748557912,pull_request
748557883,90a544159b102619a93b1dddc1e265690b9d663f,6696,master,failed,4638,2020-12-10 00:35:10 UTC,748557884,748557885,748557886,748557887,748557888,748557889,748557890,748557891,748557892,748557893,748557894,748557895,748557896,pull_request
748557869,63cdec34973ef2554ea046ebc417febc02181299,6695,master,failed,4651,2020-12-09 21:41:47 UTC,748557870,748557871,748557872,748557873,748557874,748557875,748557876,748557877,748557878,748557879,748557880,748557881,748557882,pull_request
748557755,6527b05438c76520f6535eb16834dcd95c7fc66b,,master,failed,4730,2020-12-09 18:30:04 UTC,748557756,748557757,748557758,748557759,748557760,748557761,748557762,748557763,748557764,748557765,748557766,748557767,748557768,push
748557634,33f4f42564b0312b2c6329045643b89fea4ff918,6697,master,errored,529,2020-12-09 16:52:27 UTC,748557635,748557636,748557637,748557638,748557639,748557640,748557641,748557642,748557643,748557644,748557645,748557646,748557647,pull_request
748557601,04204296136c8a33c49517450743f56074e72921,6709,3.x,passed,12189,2020-12-09 14:55:09 UTC,748557602,748557603,748557604,748557605,748557606,748557607,748557608,748557609,748557610,748557611,748557612,748557613,748557614,pull_request
748557398,2d8d25c08922d19747f4b1d95f55d1b4ce717d14,,master,canceled,-2247,2020-12-09 14:55:14 UTC,748557399,748557400,748557401,748557402,748557403,748557404,748557405,748557406,748557407,748557408,748557409,748557410,748557411,push
748542881,1398f0f41496dd10af6af7d2574bc8dd57b68610,6708,master,failed,4765,2020-12-09 13:15:41 UTC,748542882,748542883,748542884,748542885,748542886,748542887,748542888,748542889,748542890,748542891,748542892,748542893,748542894,pull_request
748360138,08b7c73303c531f4752ca0bd59674a729dd4380f,6708,master,failed,4943,2020-12-08 16:28:40 UTC,748360139,748360140,748360141,748360142,748360143,748360144,748360145,748360146,748360147,748360148,748360149,748360150,748360151,pull_request
748321958,eb7ab74f328ac491224608637fd07a698118d1ca,,3.x,passed,11772,2020-12-08 12:42:16 UTC,748321959,748321960,748321961,748321962,748321963,748321964,748321965,748321966,748321967,748321968,748321969,748321970,748321971,push
748321748,f50b4ff18698289afd4075aff85014d17585a066,,master,failed,4617,2020-12-08 12:03:21 UTC,748321749,748321750,748321751,748321752,748321753,748321754,748321755,748321756,748321757,748321758,748321759,748321760,748321761,push
748017512,f67c3d91223c8a92f4e2b587ad0f56e4359698ad,6698,master,failed,4660,2020-12-07 01:09:48 UTC,748017513,748017514,748017515,748017516,748017517,748017518,748017519,748017520,748017521,748017522,748017523,748017524,748017525,pull_request
748017467,a7cb00d4bcddeb79dcff5fa41fcfbcabd300e1db,6697,master,failed,4846,2020-12-07 00:45:41 UTC,748017468,748017469,748017470,748017471,748017472,748017473,748017474,748017475,748017476,748017477,748017478,748017479,748017480,pull_request
748017453,d0d21db46ca6c68291e7643b964bbabb141d912e,6696,master,failed,4754,2020-12-07 00:23:04 UTC,748017454,748017455,748017456,748017457,748017458,748017459,748017460,748017461,748017462,748017463,748017464,748017465,748017466,pull_request
748017430,d53c3deb768871e6783d596d03b07783ce222337,6695,master,failed,4846,2020-12-07 00:04:12 UTC,748017431,748017432,748017433,748017434,748017435,748017436,748017437,748017438,748017439,748017440,748017441,748017442,748017443,pull_request
747845683,a28c4473810535547d40efffeb35970c2aca60a8,,master,failed,4574,2020-12-05 19:04:59 UTC,747845684,747845685,747845686,747845687,747845688,747845689,747845690,747845691,747845692,747845693,747845694,747845695,747845696,push
747837207,ce57d30a16fc8bd2fd398312c71f5a490416c1d2,6693,master,failed,4723,2020-12-05 17:56:25 UTC,747837208,747837209,747837210,747837211,747837212,747837213,747837214,747837215,747837216,747837217,747837218,747837219,747837220,pull_request
747610919,54d33c6c9889d0fcfa8f59a2034a8f10885c25d8,,master,failed,4844,2020-12-04 12:41:00 UTC,747610920,747610921,747610922,747610923,747610924,747610925,747610926,747610927,747610928,747610929,747610930,747610931,747610932,push
747610587,2e4a0f986b6e1b2282967967975e89298970ecf6,,master,canceled,-2931,2020-12-04 12:41:08 UTC,747610588,747610589,747610590,747610591,747610592,747610594,747610596,747610597,747610598,747610599,747610600,747610601,747610602,push
747590689,71577b9ae4f5fbea7c943173c50efc0773aa9e25,,master,failed,4707,2020-12-04 09:52:56 UTC,747590702,747590703,747590704,747590705,747590706,747590707,747590708,747590709,747590710,747590711,747590712,747590713,747590714,push
747590081,f7692418c4dccb7aa8e226d08ee1bfc65e814c10,,master,canceled,0,,747590082,747590083,747590084,747590085,747590086,747590087,747590088,747590089,747590090,747590091,747590092,747590093,747590094,push
747588883,5e258a38f89871e8d0cd5bdc9044e1b4de71054c,6692,master,canceled,0,,747588884,747588885,747588886,747588887,747588888,747588889,747588890,747588891,747588892,747588893,747588894,747588895,747588896,pull_request
747588831,b9669dabd5c5ab7409f3a419859e73a9355100d6,6692,master,canceled,0,,747588832,747588833,747588834,747588835,747588836,747588837,747588838,747588839,747588840,747588841,747588842,747588843,747588844,pull_request
747588806,dc42b8a9f989075e02ecefefb17e95d2f9bfd430,,master,canceled,0,,747588807,747588808,747588809,747588810,747588811,747588812,747588813,747588814,747588815,747588816,747588817,747588818,747588819,push
747588764,7ae36455c23068fb8c2dd633088b909fc413c7e0,6692,master,canceled,0,,747588765,747588766,747588767,747588768,747588769,747588770,747588771,747588772,747588773,747588774,747588775,747588776,747588777,pull_request
747588744,77d7a1fb6d7a1fa76b19082f1e6b40e4875e3f57,6691,master,canceled,0,,747588745,747588746,747588747,747588748,747588749,747588750,747588751,747588752,747588753,747588754,747588755,747588756,747588757,pull_request
747588641,67b15d8a2d82a00940dab8037cb1e7e1784e6caf,,master,canceled,0,,747588642,747588643,747588644,747588645,747588646,747588647,747588648,747588649,747588650,747588651,747588652,747588653,747588654,push
747587980,5fa35c0ff98d2b6dcd755e22379ea103cf24a526,6692,master,canceled,0,,747587981,747587982,747587983,747587984,747587985,747587990,747587991,747587992,747587993,747587994,747587995,747587996,747587997,pull_request
747587966,7d653b9549df917a2fdf1f0982e247d39841dac6,6682,master,canceled,0,,747587967,747587968,747587969,747587970,747587971,747587972,747587973,747587974,747587975,747587976,747587977,747587978,747587979,pull_request
