build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
713816567,0f3f1c53370f3bb0b93ccfe2e84131da5cde4afe,260,master,passed,508,2020-07-31 20:12:14 UTC,713816568,713816569,713816570,713816571,713816572,713816573,713816574,713816575,713816576,713816577,713816578,713816579,713816580,713816581,713816582,713816583,713816584,713816585,713816586,713816587,713816588,713816589,713816590,pull_request
713816397,3f89d7904ba1d48f840a17c7046a2ba4f8288daa,260,master,canceled,0,,713816398,713816399,713816400,713816401,713816402,713816403,713816404,713816405,713816406,713816407,713816408,713816409,713816410,713816411,713816412,713816413,713816414,713816415,713816416,713816417,713816418,713816419,713816420,pull_request
713816229,0da2cb89e8427bb1d8aaba36dd843e32bbae03c2,260,master,failed,500,2020-07-31 20:08:52 UTC,713816230,713816231,713816232,713816233,713816234,713816235,713816236,713816237,713816238,713816239,713816240,713816241,713816242,713816243,713816244,713816245,713816246,713816247,713816248,713816249,713816250,713816251,713816252,pull_request
711522081,8a5cbb0f74540fe209dadb949a7a85b77a698fea,,master,passed,575,2020-07-24 16:29:58 UTC,711522082,711522083,711522084,711522085,711522086,711522087,711522088,711522089,711522090,711522091,711522092,711522093,711522094,711522095,711522096,711522097,711522098,711522099,711522100,711522101,711522102,711522103,711522104,push
711521884,36f691e8c289be30d957ed3805851d048a2a0983,,master,passed,512,2020-07-24 16:25:09 UTC,711521885,711521886,711521887,711521888,711521889,711521890,711521891,711521892,711521893,711521894,711521895,711521896,711521897,711521898,711521899,711521900,711521901,711521902,711521903,711521904,711521905,711521906,711521907,push
708513264,c803ef8f0c804945eda49cbd15f0c919a7f00513,229,master,passed,498,2020-07-15 22:36:10 UTC,708513265,708513266,708513267,708513268,708513269,708513270,708513271,708513274,708513275,708513276,708513277,708513278,708513279,708513280,708513281,708513282,708513283,708513284,708513285,708513286,708513287,708513288,708513289,pull_request
708491553,8bd4bd6478e404d91486b9215ddc36836bf75585,253,master,passed,561,2020-07-15 21:23:33 UTC,708491554,708491555,708491556,708491557,708491558,708491559,708491560,708491561,708491562,708491563,708491564,708491565,708491566,708491567,708491568,708491569,708491570,708491571,708491572,708491573,708491574,708491575,708491576,pull_request
708098620,6364d9840beb4c3da019e3580e88cba483c1f328,253,master,passed,894,2020-07-14 19:01:56 UTC,708098621,708098622,708098623,708098624,708098625,708098626,708098627,708098628,708098629,708098630,708098631,708098632,708098633,708098634,708098635,708098636,708098637,708098638,708098639,708098640,708098641,708098642,708098643,pull_request
707440021,21fa09ebed2bc3c6ba572b9811351dbd9159eebc,229,master,passed,519,2020-07-12 19:42:50 UTC,707440022,707440023,707440024,707440025,707440026,707440027,707440028,707440029,707440030,707440031,707440032,707440033,707440034,707440035,707440036,707440037,707440038,707440039,707440040,707440041,707440042,707440043,707440044,pull_request
707432852,58307e931b69735a393dbe00207b3780bf94d8ce,254,master,passed,560,2020-07-12 19:02:38 UTC,707432853,707432854,707432855,707432856,707432857,707432858,707432859,707432860,707432861,707432862,707432863,707432864,707432865,707432866,707432867,707432868,707432869,707432870,707432871,707432872,707432873,707432874,707432875,pull_request
