build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
371451495,efc4da7c279fd166069db8a505a661423048876a,301,master,passed,3764,2018-04-26 08:47:18 UTC,371451496,371451497,371451498,371451499,371451500,pull_request
371451481,8174892d1509e6bccc1740195f24db65cd1da874,,simpler_generator,passed,2851,2018-04-26 08:43:27 UTC,371451482,371451483,371451484,371451485,371451486,push
371441346,45fe75c6bef048d21fedfc105082188c7de22707,301,master,passed,4647,2018-04-26 08:16:58 UTC,371441347,371441348,371441349,371441350,371441351,pull_request
371441332,f598f4217c45f68ac9e6ab42c50d73c6d2a17ac4,,simpler_generator,passed,3627,2018-04-26 08:16:46 UTC,371441333,371441334,371441335,371441336,371441337,push
371426005,32de911f9aceecde0c0c2a4cded0e85a1e513f37,301,master,failed,3714,2018-04-26 07:43:57 UTC,371426006,371426007,371426008,371426009,371426010,pull_request
371425982,6dc8124eb32f9f47e3cd783589dbe67a4f138397,,simpler_generator,failed,3815,2018-04-26 07:26:49 UTC,371425983,371425984,371425985,371425986,371425987,push
371417768,be2b840ec03e6d2c87fc110d38b27f574c6ca27f,301,master,failed,3621,2018-04-26 06:59:20 UTC,371417769,371417770,371417771,371417772,371417773,pull_request
371417752,91db729edee64b8bc4ea84912302868c7c83d7b1,,simpler_generator,failed,3414,2018-04-26 06:59:21 UTC,371417753,371417754,371417755,371417756,371417757,push
371194271,272d0bfa8cb2941428b3835072d0807a8da65cba,301,master,failed,3409,2018-04-25 18:12:54 UTC,371194272,371194273,371194274,371194275,371194276,pull_request
371194253,c92c039ea676bede8027543fc410655fc813d790,,simpler_generator,failed,3875,2018-04-25 18:12:48 UTC,371194254,371194255,371194256,371194257,371194258,push
371181546,0e76e99610045b56a930f5932b8f399c3ae62ade,301,master,passed,4097,2018-04-25 17:44:24 UTC,371181547,371181548,371181549,371181550,371181551,pull_request
371181530,088902cf6a6ec834b203ca6940ed287f5be794cf,,simpler_generator,passed,3132,2018-04-25 17:44:24 UTC,371181531,371181532,371181533,371181534,371181535,push
371149594,101580373d21d201694b7682da5a22bddeed4508,301,master,passed,3872,2018-04-25 16:29:03 UTC,371149595,371149596,371149597,371149598,371149599,pull_request
371149551,a867d2eda474eef26b63df2c70b82b6a5bbad825,,simpler_generator,passed,3028,2018-04-25 16:28:56 UTC,371149552,371149553,371149554,371149555,371149556,push
371106275,70281f2d8c5292bba6150a16d2c0baed96297972,301,master,passed,3942,2018-04-25 15:44:42 UTC,371106276,371106277,371106278,371106279,371106280,pull_request
371106247,2450d8732b7bf4841dd5bf0503a2393ba7b89cb7,,simpler_generator,passed,2977,2018-04-25 15:33:24 UTC,371106248,371106249,371106250,371106251,371106252,push
371096276,79ca4f8dafcb1e297e87b02bfe66f8213c7c35f0,385,master,passed,2761,2018-04-25 15:20:23 UTC,371096277,371096278,371096279,371096280,371096281,pull_request
371096242,d6d56da69a9814e8e64041f3d7cd26e5428949b7,,docker,passed,2752,2018-04-25 15:07:57 UTC,371096243,371096244,371096245,371096246,371096247,push
371083576,70281f2d8c5292bba6150a16d2c0baed96297972,301,master,passed,3784,2018-04-25 14:30:38 UTC,371083577,371083578,371083579,371083580,371083581,pull_request
371083543,026f610a8c1a312d5c8deac8dcd6116360ad62f6,,simpler_generator,failed,2755,2018-04-25 14:11:36 UTC,371083544,371083545,371083546,371083547,371083548,push
371069444,f7ac81579322c250d7d658bf1544b7149ad6f2bd,301,master,failed,2773,2018-04-25 13:41:37 UTC,371069445,371069446,371069447,371069448,371069449,pull_request
371069426,17e0b0d8c2edd38d49483ae1a02c4be550e09197,,simpler_generator,failed,2766,2018-04-25 13:41:40 UTC,371069427,371069428,371069429,371069430,371069431,push
371033004,28f46f764972758eba48b0d4ae2c1653af3fa22c,301,master,failed,2829,2018-04-25 12:43:21 UTC,371033005,371033006,371033007,371033010,371033011,pull_request
371032979,1100cc75d473f35b5cc4b4b69e215ca7cdc2c8e5,,simpler_generator,failed,2690,2018-04-25 12:30:09 UTC,371032982,371032984,371032985,371032988,371032989,push
371032668,2122506439d4e6b6bc9ffe6c26db39a2e4b916bd,301,master,canceled,0,,371032674,371032675,371032676,371032677,371032678,pull_request
371032595,096d418e45e964d99c2dd4e4a077e9d232f32f61,,simpler_generator,canceled,0,,371032596,371032597,371032598,371032599,371032600,push
371017764,7fe9b22650be669a9e8212f3cc3a90115d261956,410,master,passed,2819,2018-04-25 12:27:56 UTC,371017765,371017766,371017767,371017768,371017769,pull_request
371017750,b9f496f2f118111c8fde9a0b8083465ba0db7449,,form_fill,passed,2636,2018-04-25 12:17:48 UTC,371017751,371017752,371017753,371017754,371017755,push
371013707,e940668cf0e26c97757df10588ca0bec6cbd8565,301,master,canceled,0,2018-04-25 12:17:16 UTC,371013708,371013709,371013710,371013711,371013712,pull_request
371013656,7ce266c6114765ad6deed41c8ec6a4d37c64e8d4,,simpler_generator,failed,2517,2018-04-25 12:05:17 UTC,371013657,371013658,371013659,371013660,371013661,push
371013127,2e1aa488f0dd9cf889d60ab71483f19157cbacd8,,master,passed,2761,2018-04-25 11:53:17 UTC,371013128,371013129,371013130,371013131,371013132,push
371007601,801d7cc443d665012b81577c84da1443eb97c4b6,410,master,passed,2684,2018-04-25 11:32:02 UTC,371007602,371007603,371007605,371007611,371007612,pull_request
371007548,1bc19e7a126b5783b9eaafda8f4f63b253344e45,,form_fill,passed,2537,2018-04-25 11:24:01 UTC,371007549,371007550,371007551,371007554,371007558,push
371003908,2a2dd6639d8a92fde7c3292a2cfe2aabfdd1c3fc,301,master,failed,2836,2018-04-25 11:11:23 UTC,371003909,371003910,371003911,371003912,371003913,pull_request
371003872,86e0d8254329bdce8aabf87be663c423b8e39875,,simpler_generator,failed,2495,2018-04-25 11:07:57 UTC,371003873,371003874,371003875,371003876,371003877,push
370995696,ce4ee3df36321ecf3b4685df3b3cee6a6bc16e6c,410,master,failed,1846,2018-04-25 10:55:29 UTC,370995697,370995698,370995699,370995700,370995701,pull_request
370995690,461c9db5c28cf32d31ed203080d091256fc09b47,,form_fill,failed,1542,2018-04-25 10:43:43 UTC,370995691,370995692,370995693,370995694,370995695,push
370988454,75a6038643fd935bf85c6f6a95dea2c37872ecae,301,master,failed,2655,2018-04-25 10:25:23 UTC,370988455,370988456,370988457,370988458,370988464,pull_request
370988431,d7ca843ddbb8a3d6ddd77ed815b15025033bcbb7,,simpler_generator,failed,2750,2018-04-25 10:16:01 UTC,370988432,370988433,370988434,370988435,370988436,push
370967270,ce4ee3df36321ecf3b4685df3b3cee6a6bc16e6c,410,master,failed,1866,2018-04-25 10:12:08 UTC,370967271,370967272,370967273,370967274,370967275,pull_request
370966827,554b1ea80d980f38b1fe12e25717e2218cee9f7a,,form_fill,failed,1603,2018-04-25 10:01:27 UTC,370966828,370966829,370966830,370966831,370966832,push
370960600,0a4a0f0117500574ae2ce7e6d56b6a5244c64748,301,master,failed,2691,2018-04-25 09:17:10 UTC,370960601,370960602,370960603,370960604,370960605,pull_request
370960549,fdf8002a2a660731dcb437c49e8338a7c156c9e4,,simpler_generator,failed,2526,2018-04-25 09:12:35 UTC,370960550,370960551,370960552,370960553,370960554,push
370960459,2f83ec9a2b4ec9a3255741a73073968b94d172dc,,master,passed,2802,2018-04-25 09:04:27 UTC,370960460,370960461,370960462,370960463,370960464,push
370959449,9f5099f60aa95a4415fba1a84569e96d475ca912,301,master,canceled,0,,370959450,370959451,370959452,370959453,370959454,pull_request
370959425,11ad778af3afada95363f483686840e218219b27,,simpler_generator,failed,2511,2018-04-25 08:53:33 UTC,370959426,370959427,370959428,370959430,370959432,push
370959262,6a37fa9986accc059969f278a10e636522b7db3c,,master,failed,1872,2018-04-25 08:53:16 UTC,370959263,370959264,370959265,370959266,370959267,push
370767426,965204771c3e4ffaee634c1bea401dc614ca9ebd,301,master,failed,2661,2018-04-24 20:48:26 UTC,370767427,370767428,370767429,370767430,370767431,pull_request
370767381,fa3412fb9dbf839c0010ccb152054cb21afeed90,,simpler_generator,failed,2448,2018-04-24 20:48:25 UTC,370767382,370767383,370767384,370767386,370767388,push
370747738,7dd04d38b0a7b6be80048d6bcf3034b1bdac6661,301,master,failed,2728,2018-04-24 20:03:30 UTC,370747739,370747740,370747741,370747742,370747743,pull_request
370747723,96a610006e0d911c187951c9fe45c50649b54bb3,,simpler_generator,failed,2485,2018-04-24 20:03:28 UTC,370747724,370747725,370747726,370747727,370747728,push
370714827,2516ef20475da73750133fad8b519da3deab1a03,,0.9.0a3,passed,2776,2018-04-24 19:03:26 UTC,370714828,370714830,370714831,370714833,370714834,push
370711773,0c69e81d7ea4519110b3710b384e1b8f18a5d012,,simpler_generator,failed,2402,2018-04-24 18:55:12 UTC,370711774,370711777,370711778,370711779,370711780,push
370711272,16dfdde7d27031dd0a63bb61c0d7049d9638e988,406,simpler_generator,errored,90,2018-04-24 18:51:02 UTC,370711273,370711274,370711275,370711276,370711277,pull_request
370711214,0c69e81d7ea4519110b3710b384e1b8f18a5d012,,refactor,failed,3179,2018-04-24 18:39:14 UTC,370711216,370711218,370711219,370711221,370711222,push
370710836,48e211c6ffb48096c241ce8ce32f56580354b68c,,master,passed,2782,2018-04-24 18:38:50 UTC,370710838,370710840,370710841,370710842,370710844,push
370664622,959595bde4cb52a4608f32a10cd858f0d2dd7d4d,406,simpler_generator,failed,2486,2018-04-24 16:57:25 UTC,370664623,370664624,370664625,370664626,370664627,pull_request
370664585,ad12b4f8b7589780458e18e6e12e0c3b60dd1cca,,refactor,failed,2949,2018-04-24 16:49:47 UTC,370664586,370664587,370664588,370664591,370664592,push
370653061,94fb0128326af1b8d1647d9eb4ad3a366cf16a23,406,simpler_generator,failed,2420,2018-04-24 16:37:50 UTC,370653062,370653063,370653064,370653065,370653066,pull_request
370653038,005b6370cb2f5547cc990ad0d543f9aa667e336e,,refactor,failed,3124,2018-04-24 16:24:25 UTC,370653039,370653040,370653041,370653042,370653043,push
370652762,f034edb6035c751d91051a690b7314c4f0532bc8,,refactor,canceled,0,,370652764,370652765,370652766,370652767,370652770,push
370568708,032c9209ae796873ea45cb6ab5540c7ea97897d4,406,simpler_generator,failed,3503,2018-04-24 13:37:35 UTC,370568709,370568710,370568711,370568712,370568713,pull_request
370566883,85d2c9dafbb148f8a16801c79ae8492fb8e4e436,,refactor,failed,4227,2018-04-24 13:19:20 UTC,370566884,370566885,370566886,370566887,370566888,push
370553871,15ec11999d3da6ed0fdc8432eda997642bb2b749,301,master,failed,3466,2018-04-24 13:01:15 UTC,370553872,370553873,370553874,370553875,370553876,pull_request
370553840,9edcd7d382d069e011eb5fee14fbd40b3a4209e9,,simpler_generator,failed,3290,2018-04-24 12:41:57 UTC,370553843,370553844,370553845,370553846,370553847,push
370553659,15787df309cedc9bc1d88b1312d05fa0c0549fef,301,master,canceled,0,,370553660,370553661,370553662,370553663,370553664,pull_request
370553645,c95c64a458bf71c3def47c3f883f58867694a379,,simpler_generator,failed,3269,2018-04-24 12:40:39 UTC,370553646,370553647,370553648,370553649,370553650,push
370532852,359ad98fa621d8927dc87f968c55d922965a72b6,,master,passed,2730,2018-04-24 12:11:23 UTC,370532853,370532854,370532855,370532856,370532857,push
370498985,145d088250762a5a045ab529bf60b94b9d3f60e5,301,master,failed,3581,2018-04-24 10:38:43 UTC,370498986,370498987,370498988,370498989,370498990,pull_request
370498964,d18de54466d8744b7f554d50941039845c49f96c,,simpler_generator,failed,3376,2018-04-24 10:25:35 UTC,370498965,370498966,370498967,370498968,370498969,push
370498436,759755638024f3a45553841aa254424310f2c19c,301,master,canceled,0,,370498438,370498439,370498441,370498448,370498452,pull_request
370498366,33f34945a488e7a952012287f8d52a3144931e6a,,simpler_generator,canceled,0,,370498367,370498368,370498369,370498370,370498371,push
370494809,cc2535ab1e5898e07d2578242ee136ebeee80bb0,261,master,passed,2494,2018-04-24 10:16:10 UTC,370494810,370494811,370494812,370494813,370494814,pull_request
370494791,7783036b09d03d8d5bbaf3577a5309adf0b7cd73,,form_fill,passed,2542,2018-04-24 10:09:50 UTC,370494792,370494793,370494794,370494795,370494796,push
370488104,7a40071e5f745f66de92702c51ad532be3818123,301,master,failed,3445,2018-04-24 09:54:52 UTC,370488105,370488106,370488107,370488108,370488109,pull_request
370488088,4d20799e7de5a8b91e57ed1c1b5777bd29a59072,,simpler_generator,failed,3287,2018-04-24 09:46:47 UTC,370488089,370488090,370488091,370488092,370488093,push
370478533,fe7a0462e0c2eddd523fb2dea1b3a2f43a8801c4,301,master,canceled,0,,370478534,370478535,370478536,370478537,370478538,pull_request
370478484,3f158f0d72b57bd99ef19b099dcb8fa0fa6f28ec,,simpler_generator,failed,3267,2018-04-24 09:32:14 UTC,370478485,370478486,370478487,370478488,370478489,push
370469504,abc3de204e85868c54132d95eac3395336e6d3d8,261,master,passed,2386,2018-04-24 09:26:28 UTC,370469505,370469506,370469508,370469510,370469511,pull_request
370469492,2239e4f84b5b9e93c9e3c1ec4e5e5ffeaf6cf7b0,,form_fill,passed,2703,2018-04-24 09:13:52 UTC,370469493,370469494,370469495,370469496,370469497,push
370468078,07f103abd901ce2ac02d50f0c30f243ae4caa4af,261,master,canceled,0,,370468079,370468080,370468081,370468082,370468083,pull_request
370468065,67b6d6d02a24f78170fe9f8c3fc677fafd184f04,,form_fill,canceled,0,,370468066,370468067,370468068,370468069,370468070,push
370457501,d118f3a3e8a6737e8067186dfa2e5d5184bfec84,261,master,passed,2725,2018-04-24 08:17:16 UTC,370457502,370457503,370457504,370457505,370457506,pull_request
370457477,d2198087c09b0b5e48ab1a88cc046cc4231d46c9,,form_fill,passed,2494,2018-04-24 08:08:19 UTC,370457478,370457479,370457480,370457481,370457482,push
370451160,3260dae72b68c8695f41921cb33d67be13d34fd9,301,master,failed,3513,2018-04-24 07:48:00 UTC,370451161,370451162,370451163,370451164,370451165,pull_request
370451129,ef35cf2b346ab8e8218ac6fee9ac66fe6561b886,,simpler_generator,failed,3474,2018-04-24 07:47:54 UTC,370451130,370451131,370451132,370451133,370451134,push
370169675,c30ddc7edf55e00a1d9ffc3282eed140b0a35c2e,301,master,failed,3512,2018-04-23 16:32:19 UTC,370169676,370169677,370169678,370169679,370169680,pull_request
370169624,9d40cd6b31c36e0a250656d92c585480e8adf079,,simpler_generator,failed,3405,2018-04-23 16:17:12 UTC,370169625,370169626,370169627,370169628,370169629,push
370168284,d63e37e9b2944fba379d035de2416d593afe02a5,301,master,failed,3746,2018-04-23 16:01:37 UTC,370168285,370168286,370168287,370168288,370168289,pull_request
370168254,16c8d3cb324be6c30eccba83bf7d937da5600a01,,simpler_generator,failed,3298,2018-04-23 16:01:14 UTC,370168255,370168256,370168257,370168258,370168259,push
